iter	Passed	Remaining
0	1	1056
1	1	882
2	2	803
3	3	764
4	3	743
5	4	722
6	4	707
7	5	712
8	6	713
9	7	709
10	7	707
11	8	704
12	9	698
13	9	693
14	10	693
15	11	691
16	11	689
17	12	685
18	13	683
19	13	680
20	14	680
21	15	679
22	15	676
23	16	675
24	17	673
25	17	670
26	18	670
27	19	667
28	19	665
29	20	670
30	21	669
31	22	668
32	22	667
33	23	666
34	24	665
35	24	665
36	25	665
37	26	664
38	26	662
39	27	660
40	28	660
41	28	659
42	29	658
43	30	656
44	30	657
45	32	668
46	33	680
47	34	691
48	36	701
49	37	709
50	38	708
51	38	708
52	39	707
53	40	705
54	41	706
55	41	705
56	42	704
57	43	704
58	44	704
59	44	702
60	45	700
61	46	698
62	46	696
63	47	694
64	48	692
65	48	689
66	51	719
67	52	718
68	53	719
69	54	720
70	54	719
71	55	718
72	56	721
73	57	721
74	58	721
75	59	719
76	59	716
77	60	715
78	61	716
79	62	714
80	63	714
81	64	724
82	65	720
83	66	720
84	66	718
85	67	716
86	68	721
87	70	732
88	71	731
89	72	729
90	73	729
91	73	729
92	74	728
93	75	725
94	75	723
95	76	720
96	77	718
97	78	724
98	79	724
99	80	723
100	80	720
101	82	722
102	82	721
103	83	718
104	83	715
105	84	713
106	85	712
107	86	710
108	86	708
109	88	713
110	89	714
111	89	712
112	91	717
113	92	716
114	92	715
115	94	716
116	94	714
117	95	712
118	95	710
119	96	708
120	97	706
121	97	703
122	98	702
123	100	706
124	100	706
125	101	704
126	102	701
127	102	699
128	103	697
129	103	695
130	104	693
131	106	699
132	107	698
133	108	699
134	109	699
135	109	697
136	110	696
137	111	694
138	111	693
139	112	691
140	113	689
141	113	686
142	114	684
143	114	683
144	115	681
145	116	680
146	116	678
147	117	676
148	118	674
149	118	672
150	119	671
151	120	669
152	120	667
153	121	665
154	121	664
155	122	662
156	123	660
157	123	658
158	124	657
159	124	656
160	125	653
161	126	652
162	126	651
163	127	650
164	128	648
165	128	646
166	129	644
167	129	643
168	130	641
169	131	640
170	131	638
171	132	637
172	132	635
173	133	634
174	134	632
175	134	630
176	135	629
177	135	627
178	136	625
179	137	624
180	137	623
181	138	622
182	139	620
183	139	619
184	140	617
185	140	616
186	141	614
187	141	612
188	142	611
189	143	609
190	143	608
191	144	607
192	144	605
193	145	604
194	146	603
195	147	603
196	147	602
197	148	601
198	149	599
199	149	598
200	150	596
201	150	595
202	151	594
203	151	592
204	152	591
205	153	590
206	153	588
207	154	587
208	154	586
209	155	584
210	156	583
211	156	582
212	157	581
213	157	579
214	158	578
215	158	576
216	159	575
217	160	574
218	160	573
219	161	572
220	162	571
221	162	570
222	163	568
223	163	567
224	164	566
225	164	565
226	165	563
227	166	562
228	166	561
229	167	560
230	168	559
231	168	558
232	169	556
233	169	555
234	170	554
235	170	553
236	171	551
237	171	550
238	172	549
239	173	547
240	173	546
241	174	545
242	174	544
243	175	543
244	176	542
245	176	541
246	177	540
247	177	538
248	178	537
249	178	536
250	179	535
251	179	533
252	180	532
253	180	531
254	181	530
255	182	529
256	182	528
257	183	526
258	183	525
259	184	524
260	184	523
261	185	522
262	186	521
263	186	520
264	187	519
265	187	517
266	188	516
267	188	515
268	189	514
269	189	513
270	190	512
271	191	511
272	191	510
273	192	509
274	192	508
275	193	507
276	193	506
277	194	505
278	195	504
279	195	503
280	196	502
281	196	501
282	197	500
283	198	499
284	198	498
285	199	497
286	199	496
287	200	495
288	200	494
289	201	492
290	201	491
291	202	490
292	203	489
293	203	489
294	204	488
295	205	487
296	205	486
297	206	485
298	206	484
299	207	483
300	207	482
301	208	481
302	208	480
303	209	479
304	210	478
305	210	477
306	211	476
307	211	475
